"MEASURE","Measure","REGIONTYPE","Geography Level","LGA_2016","Region","FREQUENCY","FREQUENCY","TIME","TIME","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","A","Annual","2002","2002",267048,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","A","Annual","2003","2003",268806,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","A","Annual","2004","2004",271434,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","A","Annual","2005","2005",275206,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","A","Annual","2006","2006",278894,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","A","Annual","2007","2007",284925,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","A","Annual","2008","2008",292002,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","A","Annual","2009","2009",299450,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","A","Annual","2010","2010",306601,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","A","Annual","2011","2011",312346,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","A","Annual","2012","2012",317765,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","A","Annual","2013","2013",324729,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","A","Annual","2014","2014",331783,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","A","Annual","2015","2015",339368,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10750","Blacktown (C)","A","Annual","2016","2016",347591,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10800","Bland (A)","A","Annual","2001","2001",6603,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10800","Bland (A)","A","Annual","2002","2002",6529,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10800","Bland (A)","A","Annual","2003","2003",6453,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10800","Bland (A)","A","Annual","2004","2004",6360,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10800","Bland (A)","A","Annual","2005","2005",6263,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10800","Bland (A)","A","Annual","2006","2006",6212,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10800","Bland (A)","A","Annual","2007","2007",6178,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10800","Bland (A)","A","Annual","2008","2008",6113,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10800","Bland (A)","A","Annual","2009","2009",6101,,
